id,recipe_name,text
165,English Trifle,"Slice strawberries and sprinkle them with sugar. Cut the bananas into slices and toss with orange juice. Combine pudding mix with milk and mix until smooth. Cut the cake into 1 inch cubes.
Use half of the cake cubes to line the bottom of a large glass bowl. Layer half of the strawberries followed by half of the blueberries, and then half of the bananas. Spread half of the pudding over the fruit. Repeat layers in the same order.
In a medium bowl, whip the cream to stiff peaks and spread over top of trifle. Garnish with maraschino cherries and slivered almonds."
700,Simple Mango Pudding,"Combine hot water, sugar, and powdered gelatin in a small bowl; stir until sugar and gelatin are dissolved.
Mix mango pulp, evaporated milk, and cold water together in a large bowl. Pour in hot water mixture and stir well.
Refrigerate until set, at least 4 hours."
527,Holiday Pomegranate Mignonette,"Whisk vinegar, pomegranate juice, shallot, pepper, and white sugar together in a bowl until sugar dissolves. Add pomegranate seeds, cover the bowl with plastic wrap, and refrigerate until chilled, about 1 hour."
372,GA Peach Pound Cake,"Preheat oven to 325 degrees F (165 degrees C). Butter a 10 inch tube pan and coat with white sugar.
In a large bowl, cream together the butter and sugar until light and fluffy. Add the eggs one at a time, beating well with each addition, then stir in the vanilla. Reserve 1/4 cup of flour for later, and sift together the remaining flour, baking powder and salt. Gradually stir into the creamed mixture. Use the reserved flour to coat the chopped peaches, then fold the floured peaches into the batter. Spread evenly into the prepared pan.
Bake for 60 to 70 minutes in the preheated oven, or until a toothpick inserted into the cake comes out clean. Allow cake to cool in the pan for 10 minutes, before inverting onto a wire rack to cool completely."
882,Apricot Brandy Pound Cake III,"Preheat oven to 325 degrees F (165 degrees C). Grease and flour a 10 inch tube pan. Mix together the flour, baking soda and salt. Set aside.
Combine the sour cream, rum flavoring, orange extract, almond extract, lemon extract, vanilla extract and apricot brandy. Set aside. In a large bowl, cream together the butter and sugar until light and fluffy. Beat in the eggs one at a time. Beat in the flour mixture alternately with the sour cream and flavorings mixture, stirring just until incorporated.
Pour batter into prepared pan. Bake in the preheated oven for 60 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool."
41,Apple Turnovers,"Combine the lemon and 4 cups water in a large bowl. Place the sliced apples in the water to keep them from browning.
Melt butter in a large skillet over medium heat. Drain water from apples, and place them into the hot skillet. Cook and stir for about 2 minutes. Add brown sugar, and cinnamon, and cook, stirring, for 2 more minutes. Stir together cornstarch and 1 tablespoon water. Pour into the skillet, and mix well. Cook for another minute, or until sauce has thickened. Remove from heat to cool slightly.
Preheat the oven to 400 degrees F (200 degrees C).
Unfold puff pastry sheets, and repair any cracks by pressing them back together. Trim each sheet into a square. Then cut each larger square into 4 smaller squares. Spoon apples onto the center of each squares. Fold over from corner to corner into a triangle shape, and press edges together to seal. Place turnovers on a baking sheet, leaving about 1 inch between them.
Bake for 25 minutes in the preheated oven, until turnovers are puffed and lightly browned. Cool completely before glazing.
To make the glaze, mix together the confectioners' sugar, milk and vanilla in a small bowl. Adjust the thickness by adding more sugar or milk if necessary. Drizzle glaze over the cooled turnovers."
463,Plum Kuchen,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour an 7x11-inch baking dish.
Beat 1/2 cup sugar and 2 tablespoons margarine together in a bowl using an electric mixer until smooth and creamy. Mix eggs, 1 cup flour, baking powder, and salt into creamed margarine mixture; stir in vanilla. Pour batter into the prepared baking dish. Arrange plums, skin side-down, atop batter.
Mix 1 cup sugar, 1/2 cup flour, 3 tablespoons margarine, and cinnamon together in a bowl until crumbly; spoon over batter and plums.
Bake in the preheated oven until plums are softened, about 35 minutes."
194,Cherry Cheese Pie I,"In a medium mixing bowl, beat together softened cream cheese and sugar until light and fluffy. Fold in whipped topping and blend until mixture is smooth. Spread into graham cracker crust and spoon pie filling over top. Cover with plastic wrap and chill 2 hours before serving."
780,Fruit Batido,"Blend milk, papaya, sugar, vanilla extract, and cinnamon together in a blender until smooth; add ice and blend until slushy."
264,Herb Watermelon Feta Salad,"Gently toss watermelon, onion, basil, cilantro, mint, lime juice, feta cheese, olive oil, balsamic vinegar, salt, and black pepper together in a large bowl."
